id,shapeid,name,area,sdate,edate,kommunkod,wikidata,lan,class
86,665,Vaggeryd,830.2,1971-01-01,9,665,605329,F,k665 
87,680,Jönköping,1485.1,1971-01-01,9,680,504689,F,k680 
88,682,Nässjö,934.1,1971-01-01,9,682,505096,F,k682 
89,683,Värnamo,1221.7,1971-01-01,9,683,280562,F,k683 
90,684,Sävsjö,679,1971-01-01,9,684,505239,F,k684 
91,685,Vetlanda,1506.6,1971-01-01,9,685,505052,F,k685 
92,686,Eksjö,802,1971-01-01,9,686,512035,F,k686 
93,687,Tranås,403.5,1971-01-01,9,687,505071,F,k687 
94,760,Uppvidinge,1184.5,1971-01-01,9,760,515505,G,k760 
95,761,Lessebo,410.1,1971-01-01,9,761,509488,G,k761 
96,763,Tingsryd,1047.4,1971-01-01,9,763,515491,G,k763 
97,764,Alvesta,974.7,1971-01-01,9,764,182007,G,k764 
98,765,Älmhult,893.9,1971-01-01,9,765,254799,G,k765 
99,767,Markaryd,519.4,1971-01-01,9,767,240574,G,k767 
100,780,Växjö,1673.2,1971-01-01,9,780,500217,G,k780 
101,781,Ljungby,1754.5,1971-01-01,9,781,504235,G,k781 
102,821,Högsby,752.3,1971-01-01,9,821,510233,H,k821 
103,834,Torsås,469.2,1971-01-01,9,834,515551,H,k834 
104,840,Mörbylånga,667,1971-01-01,9,840,514756,H,k840 
105,860,Hultsfred,1125.5,1971-01-01,9,860,512002,H,k860 
106,861,Mönsterås,598.3,1971-01-01,9,861,515250,H,k861 
107,862,Emmaboda,689.2,1971-01-01,9,862,509452,H,k862 
108,880,Kalmar,956.1,1971-01-01,9,880,508153,H,k880 
109,881,Nybro,1182,1971-01-01,9,881,515318,H,k881 
110,882,Oskarshamn,1047.1,1971-01-01,9,882,505006,H,k882 
111,883,Västervik,1870.5,1971-01-01,9,883,515477,H,k883 
112,884,Vimmerby,1139.3,1971-01-01,9,884,505057,H,k884 
113,885,Borgholm,674.6,1971-01-01,9,885,509546,H,k885 
114,980,Gotland,3140.1,1971-01-01,9,980,374794,,k980 
115,1060,Olofström,391.6,1971-01-01,9,1060,504257,,k1060 
116,1080,Karlskrona,1043.2,1971-01-01,9,1080,1128384,,k1080 
117,1081,Ronneby,829,1971-01-01,9,1081,515373,,k1081 
118,1082,Karlshamn,491.2,1971-01-01,9,1082,510223,,k1082 
119,1083,Sölvesborg,186.2,1971-01-01,9,1083,515409,,k1083 
120,1214,Svalöv,390.3,1971-01-01,9,1214,504227,,k1214 
121,1230,Staffanstorp,107.7,1971-01-01,9,1230,504609,,k1230 
122,1231,Burlöv,18.8,1971-01-01,9,1231,186662,,k1231 
123,1233,Vellinge,142.2,1971-01-01,9,1233,511338,,k1233 
124,1256,Östra Göinge,434.4,1971-01-01,9,1256,307370,,k1256 
125,1257,Örkelljunga,322.2,1971-01-01,9,1257,297936,,k1257 
126,1260,Bjuv,115,1971-01-01,9,1260,511310,,k1260 
127,1261,Kävlinge,153.2,1971-01-01,9,1261,513370,,k1261 
128,1262,Lomma,55.4,1971-01-01,9,1262,427991,,k1262 
129,1263,Svedala,218.9,1971-01-01,9,1263,515706,,k1263 
130,1264,Skurup,196.5,1971-01-01,9,1264,515266,,k1264 
131,1265,Sjöbo,495.5,1971-01-01,9,1265,504601,,k1265 
132,1266,Hörby,422.5,1971-01-01,9,1266,504619,,k1266 
133,1267,Höör,293.5,1971-01-01,9,1267,266401,,k1267 
134,1270,Tomelilla,398.7,1971-01-01,9,1270,515519,,k1270 
135,1272,Bromölla,164.7,1971-01-01,9,1272,514830,,k1272 
136,1273,Osby,577.9,1971-01-01,9,1273,504594,,k1273 
137,1275,Perstorp,159.8,1971-01-01,9,1275,504249,,k1275 
138,1276,Klippan,376.6,1971-01-01,9,1276,504614,,k1276 
139,1277,Åstorp,92.9,1971-01-01,9,1277,201813,,k1277 
140,1278,Båstad,218.2,1971-01-01,9,1278,499464,,k1278 
141,1280,Malmö,153.7,1971-01-01,9,1280,503361,,k1280 
142,1281,Lund,430.8,1971-01-01,9,1281,505018,,k1281 
143,1282,Landskrona,141.6,1971-01-01,9,1282,502298,,k1282 
144,1283,Helsingborg,344.9,1971-01-01,9,1283,487648,,k1283 
145,1284,Höganäs,143.7,1971-01-01,9,1284,505013,,k1284 
146,1285,Eslöv,421.3,1971-01-01,9,1285,1130264,,k1285 
147,1286,Ystad,351.6,1971-01-01,9,1286,505102,,k1286 
148,1287,Trelleborg,341.2,1971-01-01,9,1287,504219,,k1287 
149,1290,Kristianstad,1250.9,1971-01-01,9,1290,498857,,k1290 
150,1291,Simrishamn,393.4,1971-01-01,9,1291,504626,,k1291 
151,1292,Ängelholm,422.8,1971-01-01,9,1292,255206,,k1292 
152,1293,Hässleholm,1276.4,1971-01-01,9,1293,508125,,k1293 
153,1315,Hylte,951,1971-01-01,9,1315,498477,,k1315 
154,1380,Halmstad,1017.8,1971-01-01,9,1380,504692,,k1380 
155,1381,Laholm,887.1,1971-01-01,9,1381,487502,,k1381 
156,1382,Falkenberg,1115.3,1971-01-01,9,1382,508168,,k1382 
157,1383,Varberg,872.9,1971-01-01,9,1383,179180,,k1383 
158,1384,Kungsbacka,610.3,1971-01-01,9,1384,499380,,k1384 
159,1401,Härryda,268.7,1971-01-01,9,1401,500125,,k1401 
160,1402,Partille,57.2,1971-01-01,9,1402,125222,,k1402 
161,1407,Öckerö,25.5,1971-01-01,9,1407,293928,,k1407 
162,1415,Stenungsund,253.5,1971-01-01,9,1415,511438,,k1415 
163,1419,Tjörn,167.3,1971-01-01,9,1419,501448,,k1419 
164,1421,Orust,388.4,1971-01-01,9,1421,338752,,k1421 
165,1427,Sotenäs,139.8,1971-01-01,9,1427,501420,,k1427 
166,1430,Munkedal,637.2,1971-01-01,9,1430,389040,,k1430 
167,1435,Tanum,908.9,1971-01-01,9,1435,511228,,k1435 
168,1438,Dals-Ed,728,1971-01-01,9,1438,503132,,k1438 
169,1439,Färgelanda,591.9,1971-01-01,9,1439,499441,,k1439 
170,1440,Ale,318.2,1971-01-01,9,1440,498470,,k1440 
171,1441,Lerum,258.9,1971-01-01,9,1441,503188,,k1441 
172,1442,Vårgårda,428.9,1971-01-01,9,1442,511297,,k1442 
173,1443,Bollebygd,265.7,1971-01-01,1973-12-31,1443,503102,,k1443 
174,1443,Bollebygd,265.7,1995-01-01,9,1443,503102,,k1443 
175,1444,Grästorp,264.5,1971-01-01,9,1444,503148,,k1444 
176,1445,Essunga,,1971-01-01,1973-12-31,1445,503127,,k1445 
177,1445,Essunga,236.1,1983-01-01,9,1445,503127,,k1445 
178,1446,Karlsborg,433,1971-01-01,9,1446,499435,,k1446 
179,1447,Gullspång,313,1971-01-01,9,1447,503193,,k1447 
180,1452,Tranemo,748,1971-01-01,9,1452,501479,,k1452 
181,1460,Bengtsfors,892.3,1971-01-01,9,1460,267462,,k1460 
182,1461,Mellerud,511.7,1971-01-01,9,1461,501438,,k1461 
183,1462,Lilla Edet,318,1971-01-01,9,1462,511241,,k1462 
184,1463,Mark,939,1971-01-01,9,1463,500153,,k1463 
185,1465,Svenljunga,922.6,1971-01-01,9,1465,501487,,k1465 
186,1466,Herrljunga,500.7,1971-01-01,9,1466,503111,,k1466 
187,1617,Kvänum,,1971-01-01,1973-12-31,1617,10551230,,k1617 
188,1605,Larv,,1971-01-01,1973-12-31,1605,10554521,,k1605 
189,8147,Vara,,1971-01-01,1973-12-31,1470,501428,,k1470 
190,9147,Vara,,1974-01-01,1982-12-31,1470,501428,,k1470 
191,1470,Vara,701.1,1983-01-01,9,1470,501428,,k1470 
192,1471,Götene,405.6,1971-01-01,9,1471,511281,,k1471 
193,1472,Tibro,219.5,1971-01-01,9,1472,501432,,k1472 
194,1473,Töreboda,545.7,1971-01-01,9,1473,501470,,k1473 
195,1480,Göteborg,448.6,1971-01-01,9,1480,52502,,k1480 
196,1481,Mölndal,147.5,1971-01-01,9,1481,511270,,k1481 
197,1482,Kungälv,364.6,1971-01-01,9,1482,511394,,k1482 
198,1484,Lysekil,210.1,1971-01-01,9,1484,503173,,k1484 
199,1485,Uddevalla,641.8,1971-01-01,9,1485,501442,,k1485 
200,1486,Strömstad,481.8,1971-01-01,9,1486,501424,,k1486 
201,1487,Vänersborg,641.6,1971-01-01,9,1487,511426,,k1487 
202,1488,Trollhättan,411.5,1971-01-01,9,1488,28532,,k1488 
203,1489,Alingsås,476.7,1971-01-01,9,1489,503162,,k1489 
204,1538,Viskafors,,1971-01-01,1973-12-31,1538,10716124,,k1538 
205,1534,Sandhult,,1971-01-01,1973-12-31,1534,10661185,,k1534 
206,1533,Fristad,,1971-01-01,1973-12-31,1533,16236195,,k1533 
207,1531,Dalsjöfors,,1971-01-01,1973-12-31,1531,10466261,,k1531 
208,8149,Borås,,1971-01-01,1973-12-31,1490,894327,,k1490 
209,9149,Borås,1183,1974-01-01,1994-12-31,1490,894327,,k1490 
210,1490,Borås,917.7,1995-01-01,9,1490,894327,,k1490 
211,1491,Ulricehamn,1046.1,1971-01-01,9,1491,382808,,k1491 
212,1492,Åmål,480.6,1971-01-01,9,1492,271079,,k1492 
213,1493,Mariestad,603,1971-01-01,9,1493,427422,,k1493 
214,1494,Lidköping,688.7,1971-01-01,9,1494,515358,,k1494 
215,1495,Skara,439.6,1971-01-01,9,1495,499421,,k1495 
216,1496,Skövde,676.9,1971-01-01,9,1496,501452,,k1496 
217,1497,Hjo,298.6,1971-01-01,9,1497,428749,,k1497 
218,1498,Tidaholm,521.4,1971-01-01,9,1498,501459,,k1498 
219,1499,Falköping,1059,1971-01-01,9,1499,503214,,k1499 
220,1715,Kil,359.3,1971-01-01,9,1715,499393,,k1715 
221,1730,Eda,824.7,1971-01-01,9,1730,498447,,k1730 
222,1737,Torsby,4186.8,1971-01-01,9,1737,510135,,k1737 
223,1760,Storfors,394.2,1971-01-01,9,1760,505936,,k1760 
224,1761,Hammarö,56.6,1971-01-01,9,1761,499359,,k1761 
225,1762,Munkfors,141.1,1971-01-01,9,1762,501494,,k1762 
226,1763,Forshaga,351.1,1971-01-01,9,1763,499385,,k1763 
227,1764,Grums,385.3,1971-01-01,9,1764,503122,,k1764 
228,1765,Årjäng,1417,1971-01-01,9,1765,2777887,,k1765 
229,1766,Sunne,1297.3,1971-01-01,9,1766,501205,,k1766 
230,1780,Karlstad,1164.2,1971-01-01,9,1780,498453,,k1780 
231,1781,Kristinehamn,746.8,1971-01-01,9,1781,510364,,k1781 
232,1782,Filipstad,1545.7,1971-01-01,9,1782,503204,,k1782 
233,1783,Hagfors,1834.5,1971-01-01,9,1783,511407,,k1783 
234,1784,Arvika,1659.5,1971-01-01,9,1784,511365,,k1784 
235,1785,Säffle,1219,1971-01-01,9,1785,511326,,k1785 
236,1814,Lekeberg,466.4,1995-01-01,9,1814,515282,,k1814 
237,1860,Laxå,564.6,1971-01-01,9,1860,515326,,k1860 
238,1861,Hallsberg,650,1971-01-01,9,1861,508180,,k1861 
239,1862,Degerfors,386.2,1971-01-01,9,1862,509469,,k1862 
240,1863,Hällefors,995.6,1971-01-01,9,1863,220881,,k1863 
241,1864,Ljusnarsberg,579.2,1971-01-01,9,1864,514739,,k1864 
242,1804,Glanshammar,,1971-01-01,1973-12-31,1804,10505250,,k1804 
243,8188,Örebro,,1971-01-01,1973-12-31,1880,297718,,k1880 
244,9188,Örebro,,1974-01-01,1994-12-31,1880,297718,,k1880 
245,1880,Örebro,1373.7,1995-01-01,9,1880,297718,,k1880 
246,1881,Kumla,207,1971-01-01,9,1881,504988,,k1881 
247,1882,Askersund,820.7,1971-01-01,9,1882,509501,,k1882 
248,1883,Karlskoga,470.9,1971-01-01,9,1883,509634,,k1883 
249,1884,Nora,622.3,1971-01-01,9,1884,285894,,k1884 
250,1885,Lindesberg,1382.1,1971-01-01,9,1885,514858,,k1885 
251,1904,Skinnskatteberg,662,1971-01-01,9,1904,37462,,k1904 
252,1907,Surahammar,344.2,1971-01-01,9,1907,34078,,k1907 
253,331,Heby,1169.3,1971-01-01,9,331,516308,,k331 
254,1960,Kungsör,202.7,1971-01-01,9,1960,47169,,k1960 
255,1961,Hallstahammar,171.1,1971-01-01,9,1961,47019,,k1961 
256,1962,Norberg,421.5,1971-01-01,9,1962,37404,,k1962 
257,1980,Västerås,956.3,1971-01-01,9,1980,34550,,k1980 
258,1981,Sala,1172.7,1971-01-01,9,1981,37399,,k1981 
259,1982,Fagersta,270.5,1971-01-01,9,1982,47018,,k1982 
260,1983,Köping,607.6,1971-01-01,9,1983,42009,,k1983 
261,9984,Arboga,,1971-01-01,1973-12-31,1984,431271,,k1984 
262,1984,Arboga,324.2,1974-01-01,9,1984,431271,,k1984 
263,2021,Vansbro,1550.5,1971-01-01,9,2021,501551,,k2021 
264,2023,Malung,4106.5,1971-01-01,2007-12-31,2023,504266,,k2023 
265,2023,Malung-Sälen,4106.5,2008-01-01,9,2023,504266,,k2023 
266,2026,Gagnef,771.6,1971-01-01,9,2026,2642771,,k2026 
267,2029,Leksand,1227.4,1971-01-01,9,2029,509651,,k2029 
268,2031,Rättvik,1933.2,1974-01-01,9,2031,504244,,k2031 
269,2034,Orsa,1743.5,1971-01-01,9,2034,504630,,k2034 
270,2039,Älvdalen,6913.7,1971-01-01,9,2039,123855,,k2039 
271,2061,Smedjebacken,953.3,1974-01-01,9,2061,505046,,k2061 
272,2062,Mora,2827.4,1971-01-01,9,2062,504239,,k2062 
273,2080,Falun,2052,1971-01-01,9,2080,501545,,k2080 
274,2081,Borlänge,586.4,1971-01-01,9,2081,503209,,k2081 
275,2082,Säter,574.1,1971-01-01,9,2082,1345439,,k2082 
276,2083,Hedemora,838.5,1971-01-01,9,2083,507684,,k2083 
