"id","shapeid","municipality_code","name","wikidata","class","sdate","edate"
10412,1504,1504,"Ørskog",308260,"m1504",0,9
10413,929,929,"Ørsta",156453,"m929",0,9
10414,429,429,"Østre Toten",308420,"m429",0,9
10415,1424,1424,"Øvre Eiker",110311,"m1424",0,9
10416,214,214,"Øyer",316779,"m214",0,9
10417,1026,1026,"Øygarden",317321,"m1026",0,9
10418,425,425,"Øystre Slidre",329894,"m425",0,9
10419,1868,1868,"Åfjord",270835,"m1868",0,9
10420,1621,1621,"Ål",113538,"m1621",0,9
10421,1523,1523,"Ålesund",62266,"m1523",0,9
10422,1520,1520,"Åmli",90601,"m1520",0,9
10423,528,528,"Åmot",271063,"m528",0,9
10424,624,624,"Årdal",271140,"m624",0,9
10425,521,521,"Ås",54050,"m521",0,9
10426,1259,1259,"Åseral",271275,"m1259",0,9
10427,544,544,"Åsnes",48769,"m544",0,9
10428,710,710,"Sandefjord",109005,"m710",2017-01-01,9
